acquired_object_id,AUD,CAD,EUR,GBP,JPY,SEK,USD,cash,cash_and_stock,stock,acquired_time_since_founded
c:22103,0,0,0,0,0,0,1,1,0,0,[18.]
c:54651,0,0,0,0,0,0,1,0,0,0,[29.]
c:2315,0,0,0,0,0,0,1,0,0,0,[31.]
c:329,0,0,0,0,0,0,1,0,0,0,[31.]
c:159552,0,0,0,0,0,0,1,0,0,1,[31.]
c:54405,0,0,0,0,0,0,1,0,0,0,[59.]
c:8565,0,0,0,0,0,0,1,0,0,0,[67.]
c:86,0,0,0,0,0,0,1,0,0,0,[67.]
c:45891,0,0,0,0,0,0,1,1,0,0,[75.]
c:193193,0,0,0,0,0,0,1,0,0,0,[86.]
c:681,0,0,0,0,0,0,1,1,0,0,[90.]
c:192352,0,0,0,0,0,0,1,0,0,0,[90.]
c:149002,0,0,0,0,0,0,1,0,0,0,[92.]
c:47111,0,0,0,0,0,0,1,1,0,0,[92.]
c:195841,0,0,0,0,0,0,1,0,0,0,[100.]
c:3306,0,0,0,0,0,0,1,1,0,0,[103.]
c:2370,0,0,0,0,0,0,1,0,1,0,[107.]
c:213362,0,0,0,0,0,0,1,0,0,0,[108.]
c:27053,0,0,0,0,0,0,1,0,0,0,[121.]
c:1229,0,0,0,0,0,0,1,0,1,0,[121.]
c:156584,0,0,0,0,0,0,1,0,0,0,[122.]
c:175581,0,0,0,0,0,0,1,0,0,0,[122.]
c:212610,0,0,0,0,0,0,1,0,0,0,[129.]
c:183206,0,0,0,0,0,0,1,0,0,1,[132.]
c:211517,0,0,0,0,0,0,1,0,0,0,[134.]
c:187849,0,0,0,0,0,0,1,0,0,0,[136.]
c:3138,0,0,0,0,0,0,1,0,0,0,[141.]
c:182466,0,0,0,0,0,0,1,0,0,0,[143.]
c:8652,0,0,0,0,0,0,1,1,0,0,[146.]
c:245790,0,0,0,0,0,0,1,0,0,0,[149.]
c:28722,0,0,0,0,0,0,1,0,0,0,[150.]
c:6618,0,0,0,0,0,0,1,1,0,0,[151.]
c:150485,0,0,0,0,0,0,1,0,0,0,[152.]
c:184325,0,0,0,0,0,0,1,0,0,0,[154.]
c:83738,0,0,0,0,0,0,1,0,0,0,[155.]
c:48997,0,0,0,0,0,0,1,0,0,0,[158.]
c:1548,0,0,0,0,0,0,1,0,0,0,[162.]
c:34444,0,0,0,0,0,0,1,0,0,0,[164.]
c:56686,0,0,0,0,0,0,1,0,0,0,[166.]
c:68605,0,0,0,0,0,0,1,0,0,0,[167.]
c:229423,0,0,0,0,0,0,1,0,0,0,[171.]
c:50209,0,0,0,0,0,0,1,0,0,0,[172.]
c:10851,0,0,0,0,0,0,1,0,0,0,[174.]
c:48043,0,0,0,0,0,0,1,0,0,0,[174.]
c:74013,0,0,0,0,0,0,1,0,0,0,[175.]
c:182355,0,0,0,0,0,0,1,1,0,0,[177.]
c:150485,0,0,0,0,0,0,1,0,0,0,[177.]
c:51845,0,0,0,0,0,0,1,0,0,1,[179.]
c:150591,0,0,0,0,0,0,1,0,0,0,[180.]
c:269410,0,0,0,0,0,0,1,0,0,0,[182.]
c:83375,0,0,0,0,0,0,1,0,0,0,[182.]
c:236268,0,0,0,0,0,0,1,1,0,0,[182.]
c:80775,0,0,0,0,0,0,1,0,0,0,[182.]
c:186334,0,0,0,0,0,0,1,0,0,0,[183.]
c:68688,0,0,0,0,0,0,1,0,0,0,[191.]
c:85856,0,0,0,0,0,0,1,0,0,0,[194.]
c:40418,0,0,0,0,0,0,1,0,0,0,[198.]
c:151967,0,0,0,0,0,0,1,0,0,0,[205.]
c:30499,0,0,0,0,0,0,1,0,0,0,[208.]
c:20263,0,0,0,0,0,0,1,0,0,0,[212.]
c:347,0,0,0,0,0,0,1,1,0,0,[212.]
c:44880,0,0,0,0,0,0,1,0,0,0,[212.]
c:85778,0,0,0,0,0,0,1,0,0,0,[214.]
c:146509,0,0,0,0,0,0,1,0,0,0,[217.]
c:59456,0,0,0,0,0,0,1,0,0,0,[228.]
c:42612,0,0,0,0,0,0,1,1,0,0,[236.]
c:111733,0,0,0,0,0,0,1,0,0,0,[236.]
c:67879,0,0,0,0,0,0,1,0,0,1,[241.]
c:60853,0,0,0,0,0,0,1,0,0,0,[243.]
c:74604,0,0,0,0,0,0,1,0,0,0,[243.]
c:59306,0,0,0,0,0,0,1,0,0,0,[243.]
c:269032,0,0,0,0,0,0,1,0,0,1,[243.]
c:242649,0,0,0,0,0,0,1,1,0,0,[243.]
c:161957,0,0,0,0,0,0,1,0,0,0,[244.]
c:166854,0,0,0,0,0,0,1,0,0,0,[247.]
c:175604,0,0,0,0,0,0,1,0,0,0,[248.]
c:59791,0,0,0,0,0,0,1,0,0,0,[249.]
c:67293,0,0,0,0,0,0,1,0,0,0,[251.]
c:43951,0,0,0,0,0,0,1,0,0,0,[251.]
c:163905,0,0,0,0,0,0,1,0,1,0,[255.]
c:47959,0,0,0,0,0,0,1,0,0,0,[256.]
c:22827,0,0,0,0,0,0,1,0,0,0,[256.]
c:164907,0,0,0,0,0,0,1,0,0,0,[257.]
c:29863,0,0,0,0,0,0,1,0,0,0,[259.]
c:167214,0,0,0,0,0,0,1,0,0,0,[260.]
c:30309,0,0,0,0,0,0,1,0,1,0,[261.]
c:141594,0,0,0,0,0,0,1,0,0,0,[262.]
c:237080,0,0,0,0,0,0,1,0,0,0,[262.]
c:187825,0,0,0,0,0,0,1,0,0,0,[267.]
c:193355,0,0,0,0,0,0,1,0,1,0,[269.]
c:29467,0,0,0,0,0,0,1,0,0,0,[272.]
c:72434,0,0,0,0,0,0,1,0,1,0,[273.]
c:29654,0,0,0,0,0,0,1,0,0,0,[273.]
c:147231,0,0,0,0,0,0,1,0,0,0,[275.]
c:147231,0,0,0,0,0,0,1,0,0,0,[275.]
