acquiring_object_id,acquired_object_id,price_amount,AUD,CAD,EUR,GBP,JPY,SEK,USD,cash,cash_and_stock,stock,acquiring_time_since_founded
c:60326,c:146208,1000000,0,0,0,0,0,0,1,0,0,1,[14.]
c:15461,c:15460,70000,0,0,0,0,0,0,1,1,0,0,[25.]
c:192899,c:193355,330000,0,0,0,0,0,0,1,0,1,0,[27.]
c:138299,c:141275,15000,0,0,0,0,0,0,1,1,0,0,[29.]
c:5457,c:5456,5000,0,0,0,0,0,0,1,1,0,0,[41.]
c:195859,c:195858,100000,0,0,0,0,0,0,1,1,0,0,[42.]
c:221698,c:190514,5000,0,0,0,0,0,0,1,1,0,0,[45.]
c:171432,c:44839,3000,0,0,0,0,0,0,1,0,1,0,[49.]
c:9212,c:9211,50000,0,0,1,0,0,0,0,1,0,0,[112.]
c:185857,c:182355,2500,0,0,0,0,0,0,1,1,0,0,[116.]
c:184438,c:184561,200,0,0,0,0,0,0,1,1,0,0,[122.]
c:73652,c:85064,30000000,0,0,0,0,0,0,1,0,0,0,[126.]
c:475,c:5721,10500000,0,0,0,0,0,0,1,0,1,0,[142.]
c:26413,c:29725,1800000,0,0,0,0,0,0,1,0,0,0,[154.]
c:41425,c:42612,50000,0,0,0,0,0,0,1,1,0,0,[175.]
c:35053,c:15882,10000,0,0,0,0,0,0,1,1,0,0,[184.]
c:266298,c:266297,1,0,0,0,0,0,0,1,1,0,0,[187.]
c:236444,c:236433,24000000,0,0,0,0,0,0,1,0,0,0,[190.]
c:215031,c:215029,6600000,0,0,0,0,0,0,1,0,1,0,[191.]
c:199561,c:13199,30000,0,0,1,0,0,0,0,1,0,0,[191.]
c:22119,c:22116,12000,0,0,0,0,0,0,1,1,0,0,[198.]
c:215031,c:215030,7590000,0,0,0,0,0,0,1,0,0,1,[200.]
c:25574,c:156253,62000,0,0,0,0,0,0,1,1,0,0,[213.]
c:42080,c:140823,5200000,0,0,0,0,0,0,1,0,0,1,[215.]
c:18366,c:18365,3800000,0,0,0,0,0,0,1,1,0,0,[240.]
c:242649,c:242649,1858,0,0,0,0,0,0,1,1,0,0,[243.]
c:261276,c:261265,185000000,0,0,0,0,0,0,1,0,0,0,[245.]
c:475,c:13918,836000,0,0,0,0,0,0,1,1,0,0,[252.]
c:226873,c:226871,75000,0,0,0,0,0,0,1,1,0,0,[253.]
c:226873,c:226872,279000,0,0,0,0,0,0,1,1,0,0,[258.]
c:13449,c:31758,297430000,0,0,0,0,0,0,1,0,0,0,[259.]
c:157165,c:179162,100000,0,0,0,0,0,0,1,0,1,0,[269.]
c:201649,c:38320,65000000,0,0,0,0,0,0,1,1,0,0,[274.]
c:226873,c:226868,50000,0,0,0,0,0,0,1,1,0,0,[279.]
c:475,c:12664,10000000,0,0,0,0,0,0,1,0,1,0,[280.]
c:226873,c:226869,27000,0,0,0,0,0,0,1,1,0,0,[281.]
c:274817,c:274815,80000,0,0,0,0,0,0,1,1,0,0,[283.]
c:236444,c:273464,36000000,0,0,0,0,0,0,1,1,0,0,[293.]
c:274817,c:274816,75000,0,0,0,0,0,0,1,1,0,0,[295.]
c:274817,c:274814,250000,0,0,0,0,0,0,1,1,0,0,[301.]
c:318,c:5475,25000000,0,0,0,0,0,0,1,1,0,0,[320.]
c:279505,c:279503,500000,0,0,0,0,0,0,1,0,1,0,[334.]
c:2391,c:63152,1300000000,0,0,0,0,0,0,1,1,0,0,[350.]
c:154691,c:270395,40000,0,0,0,0,0,0,1,0,0,1,[365.]
c:30570,c:5895,140000000,0,0,1,0,0,0,0,0,0,0,[367.]
c:21696,c:21695,50000,0,0,0,0,0,0,1,1,0,0,[387.]
c:185048,c:185047,1700000,0,0,0,0,0,0,1,0,1,0,[391.]
c:28061,c:83617,25000,0,0,0,1,0,0,0,1,0,0,[402.]
c:146839,c:146838,200000,0,0,0,0,0,0,1,1,0,0,[425.]
c:19786,c:19785,10000,0,0,0,0,0,0,1,0,1,0,[431.]
c:226873,c:226870,17000,0,0,0,0,0,0,1,1,0,0,[440.]
c:192735,c:192734,1500,0,0,0,0,0,0,1,1,0,0,[453.]
c:82725,c:85482,275000,0,0,0,0,0,0,1,0,0,0,[458.]
c:30525,c:82972,250000000,0,0,0,0,0,0,1,0,0,0,[459.]
c:15456,c:22103,10000,0,0,0,0,0,0,1,1,0,0,[497.]
c:210556,c:210478,308000000,0,0,0,0,0,0,1,0,0,0,[498.]
c:10106,c:34000,18000000,0,0,0,0,0,0,1,0,0,0,[545.]
c:144973,c:144972,1400,0,0,0,0,0,0,1,1,0,0,[545.]
c:5023,c:36253,1000000,0,0,0,0,0,0,1,0,0,0,[567.]
c:150762,c:150761,500000,0,0,0,1,0,0,0,1,0,0,[582.]
c:171192,c:171191,4900,0,0,0,0,0,0,1,0,0,1,[600.]
c:188833,c:188832,50000,0,0,0,0,0,0,1,1,0,0,[616.]
c:73652,c:4092,10000000,0,0,0,0,0,0,1,0,0,0,[635.]
c:760,c:524,75000000,0,0,0,0,0,0,1,1,0,0,[642.]
c:475,c:2964,10000000,0,0,0,0,0,0,1,0,0,1,[643.]
c:271678,c:271682,75000000,0,0,0,0,0,0,1,0,1,0,[652.]
c:45,c:16630,85000000,0,0,0,0,0,0,1,1,0,0,[668.]
c:94,c:658,600000000,0,0,0,0,0,0,1,1,0,0,[669.]
c:271678,c:281390,21000000,0,0,0,0,0,0,1,0,1,0,[689.]
c:621,c:27722,130000000,0,0,0,0,0,0,1,0,0,1,[699.]
c:45,c:192,18000000,0,0,0,0,0,0,1,1,0,0,[699.]
c:40482,c:44711,21000000,0,0,0,0,0,0,1,0,0,0,[724.]
c:53254,c:65620,10000000,0,0,0,0,0,0,1,0,0,0,[725.]
c:45,c:1361,100000000,0,0,0,0,0,0,1,0,0,0,[730.]
c:46749,c:36739,26250000,0,0,0,0,0,0,1,0,0,1,[731.]
