id,normalized_name,category_code,founded_at,country_code
c:1,wetpaint,web,2005-10-17,USA
c:10002,synergie media,advertising,2007-06-27,MAR
c:10003,green basti ecosystems,cleantech,2008-08-20,IND
c:10009,dimension5 labs,advertising,2008-08-01,USA
c:1001,friendfeed,web,2007-10-01,USA
c:10011,poetryvisualized,games_video,2008-01-01,USA
c:10014,mobclix,mobile,2008-03-01,USA
c:10015,fitbit,health,2007-10-01,USA
c:100155,mtpv,cleantech,2003-01-01,USA
c:100174,paydirt,software,2011-01-25,AUS
c:10018,demandbase,analytics,2006-01-01,USA
c:100180,airspeed,software,2011-01-01,USA
c:100189,locatrix communications,mobile,2003-11-01,AUS
c:10021,diditz,network_hosting,2008-01-01,IND
c:100212,betts recruiting,consulting,2009-10-01,USA
c:10022,fundable,finance,2012-05-22,USA
c:100228,ihirehelp,education,2010-10-01,USA
c:10023,leapre,advertising,2005-01-01,USA
c:100230,your online business,advertising,2004-09-01,AUS
c:100238,cardiosolutions,medical,2006-01-01,USA
c:100243,deepflex,manufacturing,2004-01-01,USA
c:10025,nationwide auto lending,web,2006-01-05,USA
c:10026,wevod,games_video,2006-05-04,FRA
c:10027,gazopa,games_video,2008-01-01,JPN
c:100271,balance financial,enterprise,2004-01-01,USA
c:10028,newmarcom,consulting,2008-06-01,NLD
c:10029,shopcasttv,mobile,2007-01-01,USA
c:1003,wikinvest,web,2006-01-01,USA
c:100301,minds,network_hosting,2011-01-01,USA
c:10034,kumar pustak mall private limited,other,2007-09-01,IND
c:10037,it eye magazine,advertising,2006-01-01,EGY
c:100379,g2 web services,ecommerce,2004-01-01,USA
c:10039,oooooc,ecommerce,2008-01-01,ISR
c:10040,beaupre public relations,other,1983-01-01,USA
c:10042,me trics,public_relations,2007-10-01,USA
c:10044,oms safeharbor,software,2001-01-01,USA
c:100442,amantel,mobile,2002-01-01,USA
c:10048,gigjunkie,games_video,2008-04-01,GBR
c:10049,inncom,hardware,1986-01-01,USA
c:10053,datapro services internationalltd,software,2004-01-01,THA
c:10054,jumptap,mobile,2005-01-01,USA
c:10058,cosinity,web,2008-03-01,USA
c:10059,shooting people,network_hosting,1998-10-15,GBR
c:1006,youlicit,web,2006-09-01,USA
c:100607,jogabo,games_video,2011-01-01,USA
c:100634,dotcomweavers,consulting,2004-01-01,USA
c:10065,courion,software,1996-01-01,USA
c:10066,adgregate markets,ecommerce,2008-05-01,USA
c:10069,playphone,games_video,2003-04-01,USA
