object_id,time_since_founded,funding_round_type,funding_round_code,raised_amount_usd,participants,is_first_round,is_last_round,a,angel,b,c,d,e,f,g,seed
c:4,781,series-b,b,8500000,2,0,0,0,0,1,0,0,0,0,0,0
c:5,213,angel,angel,500000,2,0,1,0,1,0,0,0,0,0,0,0
c:5,455,series-a,a,12700000,3,0,0,1,0,0,0,0,0,0,0,0
c:5,790,series-b,b,27500000,4,0,0,0,0,1,0,0,0,0,0,0
c:7299,1065,series-b,b,10500000,2,0,0,0,0,1,0,0,0,0,0,0
c:9,214,series-a,a,1500000,1,0,1,1,0,0,0,0,0,0,0,0
c:9,273,series-b,b,10000000,1,0,0,0,0,1,0,0,0,0,0,0
c:13,1399,series-a,seed,1500000,4,0,0,0,0,0,0,0,0,0,0,1
c:14,1581,series-a,a,6300000,2,0,1,1,0,0,0,0,0,0,0,0
c:15,0,angel,angel,40000,1,0,0,0,1,0,0,0,0,0,0,0
c:16,516,series-b,b,40000000,4,0,1,0,0,1,0,0,0,0,0,0
c:16,516,series-a,a,13500000,3,0,1,1,0,0,0,0,0,0,0,0
c:15,151,series-a,a,3710000,6,0,0,1,0,0,0,0,0,0,0,0
c:22,151,series-a,a,1500000,1,0,1,1,0,0,0,0,0,0,0,0
c:23,220,series-a,a,45000000,3,1,1,1,0,0,0,0,0,0,0,0
c:27,226,series-b,b,8500000,3,0,0,0,0,1,0,0,0,0,0,0
c:30,243,series-a,a,12500000,5,1,0,1,0,0,0,0,0,0,0,0
c:31,1461,series-c+,c,10520000,3,0,0,0,0,0,1,0,0,0,0,0
c:31,823,series-b,b,6500000,1,0,0,0,0,1,0,0,0,0,0,0
c:34,851,series-a,a,2500000,2,0,1,1,0,0,0,0,0,0,0,0
c:34,1127,series-b,b,5500000,6,0,0,0,0,1,0,0,0,0,0,0
c:27,501,series-c+,c,7000000,4,0,0,0,0,0,1,0,0,0,0,0
c:27,1537,series-c+,d,9000000,1,1,0,0,0,0,0,1,0,0,0,0
c:38,212,series-a,a,2250000,4,0,1,1,0,0,0,0,0,0,0,0
c:40,821,series-b,b,12500000,4,0,0,0,0,1,0,0,0,0,0,0
c:40,1308,series-c+,c,25000000,5,0,0,0,0,0,1,0,0,0,0,0
c:43,182,angel,seed,1000000,2,1,1,0,0,0,0,0,0,0,0,1
c:44,395,series-c+,c,30000000,2,0,0,0,0,0,1,0,0,0,0,0
c:44,91,series-a,a,5000000,3,0,0,1,0,0,0,0,0,0,0,0
c:44,212,series-b,b,26000000,1,0,0,0,0,1,0,0,0,0,0,0
c:53,638,series-b,b,6850000,1,0,0,0,0,1,0,0,0,0,0,0
c:53,426,series-a,a,6000000,1,0,1,1,0,0,0,0,0,0,0,0
c:46,882,series-a,a,6000000,2,0,1,1,0,0,0,0,0,0,0,0
c:46,1356,series-b,b,25000000,1,0,0,0,0,1,0,0,0,0,0,0
c:54,427,angel,seed,700000,1,0,1,0,0,0,0,0,0,0,0,1
c:54,547,series-a,a,4000000,2,1,0,1,0,0,0,0,0,0,0,0
c:58,485,series-c+,c,20000000,5,0,0,0,0,0,1,0,0,0,0,0
c:58,0,series-b,b,12500000,4,0,0,0,0,1,0,0,0,0,0,0
c:65,245,series-a,seed,3000000,1,1,1,0,0,0,0,0,0,0,0,1
c:69,45,series-a,a,1500000,1,0,1,1,0,0,0,0,0,0,0,0
c:1896,214,series-a,a,900000,1,0,1,1,0,0,0,0,0,0,0,0
c:1896,365,series-b,b,3300000,3,0,0,0,0,1,0,0,0,0,0,0
c:78,1614,series-b,b,15000000,3,1,0,0,0,1,0,0,0,0,0,0
c:80,578,series-b,b,19500000,3,0,0,0,0,1,0,0,0,0,0,0
c:80,912,series-c+,c,18000000,4,0,0,0,0,0,1,0,0,0,0,0
c:80,366,series-a,a,8000000,2,0,1,1,0,0,0,0,0,0,0,0
c:82,518,series-a,a,1000000,2,0,1,1,0,0,0,0,0,0,0,0
c:82,791,series-b,b,8000000,1,1,0,0,0,1,0,0,0,0,0,0
c:84,92,series-a,a,5000000,2,0,0,1,0,0,0,0,0,0,0,0
c:84,396,series-b,b,20000000,2,0,0,0,0,1,0,0,0,0,0,0
c:87,0,angel,angel,100000,0,1,1,0,1,0,0,0,0,0,0,0
c:89,244,series-a,a,7000000,2,1,1,1,0,0,0,0,0,0,0,0
c:90,153,series-a,a,4000000,2,0,1,1,0,0,0,0,0,0,0,0
c:93,455,series-a,a,3100000,3,1,0,1,0,0,0,0,0,0,0,0
c:85,183,series-a,a,5000000,1,0,1,1,0,0,0,0,0,0,0,0
c:85,426,series-b,b,10000000,1,0,0,0,0,1,0,0,0,0,0,0
c:63,273,series-a,a,3500000,1,0,1,1,0,0,0,0,0,0,0,0
c:63,424,series-b,b,8000000,1,1,0,0,0,1,0,0,0,0,0,0
c:7299,639,series-a,a,3000000,1,0,1,1,0,0,0,0,0,0,0,0
c:60,850,series-c+,c,20000000,2,0,0,0,0,0,1,0,0,0,0,0
c:62,213,series-b,b,18800000,2,0,0,0,0,1,0,0,0,0,0,0
c:73,1037,series-a,a,6000000,1,1,1,1,0,0,0,0,0,0,0,0
c:96,676,series-b,b,7000000,4,0,0,0,0,1,0,0,0,0,0,0
c:96,586,series-a,a,6200000,3,0,1,1,0,0,0,0,0,0,0,0
c:97,448,series-b,b,9000000,3,1,0,0,0,1,0,0,0,0,0,0
c:97,448,series-a,a,3500000,2,1,0,1,0,0,0,0,0,0,0,0
c:4,355,series-a,a,2800000,8,0,1,1,0,0,0,0,0,0,0,0
c:25732,814,series-b,b,6000000,3,0,1,0,0,1,0,0,0,0,0,0
c:105,334,series-b,b,3000000,2,1,0,0,0,1,0,0,0,0,0,0
c:107,2041,series-b,b,6500000,4,0,0,0,0,1,0,0,0,0,0,0
c:107,2222,series-c+,c,8000000,1,0,0,0,0,0,1,0,0,0,0,0
c:106,1458,series-a,a,5350000,2,0,0,1,0,0,0,0,0,0,0,0
c:109,372,series-a,a,1200000,3,0,0,1,0,0,0,0,0,0,0,0
c:112,607,series-a,a,4000000,1,1,1,1,0,0,0,0,0,0,0,0
c:113,822,series-c+,c,10000000,1,0,0,0,0,0,1,0,0,0,0,0
c:113,457,series-b,b,5000000,1,0,0,0,0,1,0,0,0,0,0,0
c:47,973,series-c+,c,44000000,1,0,0,0,0,0,1,0,0,0,0,0
c:121,518,series-a,a,1000000,4,1,1,1,0,0,0,0,0,0,0,0
c:122,0,angel,angel,287033,0,1,1,0,1,0,0,0,0,0,0,0
c:123,1035,series-a,a,3200000,0,0,1,1,0,0,0,0,0,0,0,0
c:123,1400,series-b,b,8000000,0,1,0,0,0,1,0,0,0,0,0,0
c:126,2649,series-c+,c,15000000,4,1,0,0,0,0,1,0,0,0,0,0
c:126,1522,series-b,b,8000000,1,0,0,0,0,1,0,0,0,0,0,0
c:128,639,series-a,a,1500000,2,0,1,1,0,0,0,0,0,0,0,0
c:128,912,series-b,b,7000000,3,0,0,0,0,1,0,0,0,0,0,0
c:128,1461,series-c+,c,12100000,6,1,0,0,0,0,1,0,0,0,0,0
c:118,0,series-a,a,2300000,2,0,1,1,0,0,0,0,0,0,0,0
c:118,0,angel,seed,700000,0,0,1,0,0,0,0,0,0,0,0,1
c:132,1581,series-a,a,5000000,1,1,1,1,0,0,0,0,0,0,0,0
c:131,426,series-a,a,1500000,3,0,0,1,0,0,0,0,0,0,0,0
c:131,485,series-b,b,15000000,3,0,0,0,0,1,0,0,0,0,0,0
c:135,120,series-a,a,1300000,1,0,1,1,0,0,0,0,0,0,0,0
c:134,365,angel,seed,500000,1,0,1,0,0,0,0,0,0,0,0,1
c:138,181,angel,seed,1000000,5,0,1,0,0,0,0,0,0,0,0,1
c:138,334,series-a,a,15000000,2,1,0,1,0,0,0,0,0,0,0,0
c:142,480,series-a,a,15000000,1,1,1,1,0,0,0,0,0,0,0,0
c:140,457,series-c+,c,20000000,4,0,0,0,0,0,1,0,0,0,0,0
c:139,274,series-a,a,1000000,1,0,1,1,0,0,0,0,0,0,0,0
c:139,486,series-a,a,1000000,1,1,0,1,0,0,0,0,0,0,0,0
c:141,365,series-c+,c,12000000,3,0,0,0,0,0,1,0,0,0,0,0
c:153,2127,series-a,a,8000000,5,0,1,1,0,0,0,0,0,0,0,0
c:153,2616,series-b,b,11000000,7,1,0,0,0,1,0,0,0,0,0,0
c:155,121,series-a,a,1000000,0,0,1,1,0,0,0,0,0,0,0,0
