id,parent_id,normalized_name,founded_at,status,company_found_at,since_founded,alpha,beta,closed,development,live,operating,private
r:1,c:1,wikison wetpaint,2006-06-01,live,2005-10-17,227,0,0,0,0,1,0,0
r:10,c:16,slacker web player,2007-06-05,operating,2006-01-01,520,0,0,0,0,0,1,0
r:100,c:1585,vemo enterprise workforce planning,2008-07-01,live,2005-11-01,973,0,0,0,0,1,0,0
r:10002,c:14171,dexmo study and revision network,2006-09-01,operating,2006-09-01,0,0,0,0,0,0,1,0
r:10006,c:14180,shared hosting,2000-01-08,operating,2000-01-08,0,0,0,0,0,0,1,0
r:10007,c:14180,vps hosting,2000-01-08,operating,2000-01-08,0,0,0,0,0,0,1,0
r:10008,c:14180,managed services,2000-01-08,operating,2000-01-08,0,0,0,0,0,0,1,0
r:10009,c:14184,hirebridge recruiter,2000-01-01,operating,2000-01-01,0,0,0,0,0,0,1,0
r:10013,c:14187,competitive intelligence consulting and research,2001-01-01,operating,2001-01-01,0,0,0,0,0,0,1,0
r:10014,c:6268,jumpstart,1989-01-01,live,1989-01-01,0,0,0,0,0,1,0,0
r:10015,c:14198,office space rental,2009-01-01,operating,2009-01-01,0,0,0,0,0,0,1,0
r:10016,c:14198,meeting room rental,2009-01-01,operating,2009-01-01,0,0,0,0,0,0,1,0
r:10018,c:14201,feedmyapp,2007-06-05,live,2005-01-01,885,0,0,0,0,1,0,0
r:10019,c:14201,professional on the web,2005-01-01,beta,2005-01-01,0,0,1,0,0,0,0,0
r:10022,c:14202,win4lin,2006-01-01,operating,2006-01-01,0,0,0,0,0,0,1,0
r:10025,c:14202,verde,2013-10-01,live,2006-01-01,2830,0,0,0,0,1,0,0
r:10026,c:14209,prowebsurfer c no evil plug in,2006-01-01,operating,2006-01-01,0,0,0,0,0,0,1,0
r:10027,c:14209,prowebsurfer web service,2006-01-01,operating,2006-01-01,0,0,0,0,0,0,1,0
r:10028,c:14215,conferenceedge communications suite,2008-01-01,live,2007-01-01,365,0,0,0,0,1,0,0
r:10029,c:14216,asigra televaulting,2002-05-01,operating,2002-05-01,0,0,0,0,0,0,1,0
r:10030,c:14216,funambol,2002-05-01,operating,2002-05-01,0,0,0,0,0,0,1,0
r:10031,c:14218,the brand integration service,2007-01-01,operating,2007-01-01,0,0,0,0,0,0,1,0
r:10032,c:14219,makeover men,2008-06-30,operating,2008-06-30,0,0,0,0,0,0,1,0
r:10033,c:14219,makeover women,2008-06-30,operating,2008-06-30,0,0,0,0,0,0,1,0
r:10034,c:14219,makeover couples,2008-06-30,operating,2008-06-30,0,0,0,0,0,0,1,0
r:10035,c:2972,gameriot,2007-01-01,operating,2007-01-01,0,0,0,0,0,0,1,0
r:10036,c:13174,authorstream,2007-04-02,live,2007-05-01,-29,0,0,0,0,1,0,0
r:10037,c:14221,wiziq,2007-04-02,live,2005-05-24,678,0,0,0,0,1,0,0
r:10039,c:14227,fileride,2008-10-31,beta,2007-01-01,669,0,1,0,0,0,0,0
r:1004,c:1170,collegehumor,1999-01-01,live,1999-01-01,0,0,0,0,0,1,0,0
r:10041,c:14228,mychristmas,2008-04-01,operating,2008-04-01,0,0,0,0,0,0,1,0
