acquiring_object_id,acquired_object_id,price_amount,AUD,CAD,EUR,GBP,JPY,SEK,USD,cash,cash_and_stock,stock,acquiring_time_since_founded
c:260783,c:80142,240648666.66666666667,0,0,0,0,0,0,1,0,0,0,[1.]
c:307,c:306,239394000.0,0,0,0,0,0,0,1,1,0,0,[6.]
c:60326,c:146208,1000000,0,0,0,0,0,0,1,0,0,1,[14.]
c:15461,c:15460,70000,0,0,0,0,0,0,1,1,0,0,[25.]
c:192899,c:193355,330000,0,0,0,0,0,0,1,0,1,0,[27.]
c:138299,c:141275,15000,0,0,0,0,0,0,1,1,0,0,[29.]
c:80259,c:4716,240648666.66666666667,0,0,0,0,0,0,1,0,0,0,[31.]
c:166448,c:40101,212816227.27272727272,0,0,0,0,0,0,1,0,0,0,[31.]
c:82144,c:60638,341509583.33333333334,0,0,0,0,0,0,1,0,0,0,[39.]
c:5457,c:5456,5000,0,0,0,0,0,0,1,1,0,0,[41.]
c:64703,c:59456,383584888.88888888888,0,0,0,0,0,0,1,0,0,0,[41.]
c:195859,c:195858,100000,0,0,0,0,0,0,1,1,0,0,[42.]
c:221698,c:190514,5000,0,0,0,0,0,0,1,1,0,0,[45.]
c:171432,c:44839,3000,0,0,0,0,0,0,1,0,1,0,[49.]
c:47470,c:23476,406149562.17813765182,0,0,0,0,0,0,1,0,0,0,[59.]
c:23010,c:110,294595406.4516129032,0,0,0,0,0,0,1,0,0,1,[59.]
c:279935,c:169569,240648666.66666666667,0,0,0,0,0,0,1,0,0,0,[61.]
c:85143,c:47064,240648666.66666666667,0,0,0,0,0,0,1,0,0,0,[61.]
c:207479,c:150485,294595406.4516129032,0,0,0,0,0,0,1,0,0,0,[61.]
c:15180,c:5783,302894232.55813953487,0,0,0,0,0,0,1,0,0,0,[71.]
c:190559,c:38003,294595406.4516129032,0,0,0,0,0,0,1,0,0,0,[75.]
c:84204,c:43263,294595406.4516129032,0,0,0,0,0,0,1,0,0,0,[75.]
c:45891,c:45891,294595406.4516129032,0,0,0,0,0,0,1,1,0,0,[75.]
c:175916,c:25200,294595406.4516129032,0,0,0,0,0,0,1,0,0,0,[78.]
c:64703,c:71792,586051983.60655737703,0,0,0,0,0,0,1,0,0,0,[78.]
c:193054,c:42069,240648666.66666666667,0,0,0,0,0,0,1,0,1,0,[82.]
c:45772,c:45773,294595406.4516129032,0,0,0,0,0,0,1,0,1,0,[91.]
c:257213,c:116092,406149562.17813765182,0,0,0,0,0,0,1,0,0,0,[91.]
c:176998,c:163003,294595406.4516129032,0,0,0,0,0,0,1,0,0,0,[92.]
c:150328,c:25307,240648666.66666666667,0,0,0,0,0,0,1,0,1,0,[92.]
c:9212,c:9211,50000,0,0,1,0,0,0,0,1,0,0,[112.]
c:10614,c:13506,196700000.0,0,0,0,0,0,0,1,0,0,0,[114.]
c:185857,c:182355,2500,0,0,0,0,0,0,1,1,0,0,[116.]
c:74819,c:75,294595406.4516129032,0,0,0,0,0,0,1,0,0,0,[116.]
c:159674,c:41597,212816227.27272727272,0,0,0,0,0,0,1,1,0,0,[121.]
c:42069,c:42507,240648666.66666666667,0,0,0,0,0,0,1,1,0,0,[121.]
c:184189,c:3234,294595406.4516129032,0,0,0,0,0,0,1,0,0,0,[122.]
c:184438,c:184561,200,0,0,0,0,0,0,1,1,0,0,[122.]
c:153802,c:1535,294595406.4516129032,0,0,0,0,0,0,1,0,1,0,[122.]
c:69063,c:26563,294595406.4516129032,0,0,0,0,0,0,1,0,0,0,[122.]
c:73652,c:85064,30000000,0,0,0,0,0,0,1,0,0,0,[126.]
c:74819,c:56761,406149562.17813765182,0,0,0,0,0,0,1,0,0,0,[128.]
c:110414,c:55148,398972500.0,0,0,0,0,0,0,1,0,1,0,[136.]
c:17018,c:29467,406149562.17813765182,0,0,0,0,0,0,1,0,0,0,[137.]
c:159674,c:158723,398972500.0,0,0,0,0,0,0,1,1,0,0,[142.]
c:475,c:5721,10500000,0,0,0,0,0,0,1,0,1,0,[142.]
c:24795,c:16392,383584888.88888888888,0,0,0,0,0,0,1,0,0,0,[151.]
c:11004,c:11002,294595406.4516129032,0,0,0,0,0,0,1,0,0,0,[152.]
c:11004,c:11003,294595406.4516129032,0,0,0,0,0,0,1,0,0,0,[152.]
c:26413,c:29725,1800000,0,0,0,0,0,0,1,0,0,0,[154.]
c:201770,c:169463,853566666.6666666667,0,0,0,0,0,0,1,0,0,0,[168.]
c:41425,c:42612,50000,0,0,0,0,0,0,1,1,0,0,[175.]
c:48055,c:9146,264731129.03225806452,0,0,0,0,0,0,1,1,0,0,[179.]
