,object_id,funding_round_code,raised_amount_usd,participants,a,angel,b,c,d,e,f,g,seed,time_since_founded
16944,c:144040,seed,1000000,0,0,0,0,0,0,0,0,0,1,0
4093,c:18038,a,13350000,4,1,0,0,0,0,0,0,0,0,0
19165,c:161452,seed,866032.61638225255973,0,0,0,0,0,0,0,0,0,1,0
19166,c:161453,seed,100000,0,0,0,0,0,0,0,0,0,1,0
19169,c:161480,angel,250000,1,0,1,0,0,0,0,0,0,0,0
28530,c:264245,angel,832099.38937198067634,1,0,1,0,0,0,0,0,0,0,0
4121,c:18202,seed,425000,2,0,0,0,0,0,0,0,0,1,0
19187,c:51578,angel,695850,0,0,1,0,0,0,0,0,0,0,0
19191,c:161699,seed,575000,1,0,0,0,0,0,0,0,0,1,0
19212,c:161944,angel,1000000,5,0,1,0,0,0,0,0,0,0,0
4145,c:4299,seed,1000000,0,0,0,0,0,0,0,0,0,1,0
28502,c:263989,seed,650000,0,0,0,0,0,0,0,0,0,1,0
13601,c:68549,seed,50000,0,0,0,0,0,0,0,0,0,1,0
13592,c:68486,angel,832099.38937198067634,0,0,1,0,0,0,0,0,0,0,0
13587,c:68442,seed,866032.61638225255973,1,0,0,0,0,0,0,0,0,1,0
19232,c:162067,seed,1000,0,0,0,0,0,0,0,0,0,1,0
4184,c:18701,seed,100000,0,0,0,0,0,0,0,0,0,1,0
4188,c:18741,angel,279720,6,0,1,0,0,0,0,0,0,0,0
28549,c:264553,seed,250000,0,0,0,0,0,0,0,0,0,1,0
13574,c:68329,angel,200000,0,0,1,0,0,0,0,0,0,0,0
19162,c:45196,seed,143140,1,0,0,0,0,0,0,0,0,1,0
13671,c:69063,seed,866032.61638225255973,0,0,0,0,0,0,0,0,0,1,0
28705,c:265497,seed,866032.61638225255973,0,0,0,0,0,0,0,0,0,1,0
19125,c:161240,seed,1500000,0,0,0,0,0,0,0,0,0,1,0
28693,c:265463,seed,50000,0,0,0,0,0,0,0,0,0,1,0
13719,c:64996,seed,1150000,1,0,0,0,0,0,0,0,0,1,0
4009,c:17758,a,4000000,1,1,0,0,0,0,0,0,0,0,0
28677,c:265370,seed,50000,0,0,0,0,0,0,0,0,0,1,0
13714,c:69596,seed,200000,0,0,0,0,0,0,0,0,0,1,0
28661,c:265241,seed,866032.61638225255973,1,0,0,0,0,0,0,0,0,1,0
19137,c:161312,seed,500000,0,0,0,0,0,0,0,0,0,1,0
19140,c:161360,angel,832099.38937198067634,0,0,1,0,0,0,0,0,0,0,0
4038,c:17842,seed,500000,1,0,0,0,0,0,0,0,0,1,0
13691,c:69451,seed,400000,3,0,0,0,0,0,0,0,0,1,0
13686,c:69368,seed,100000,2,0,0,0,0,0,0,0,0,1,0
4058,c:17901,angel,1100000,0,0,1,0,0,0,0,0,0,0,0
4060,c:17908,seed,866032.61638225255973,0,0,0,0,0,0,0,0,0,1,0
4067,c:17957,a,2000000,0,1,0,0,0,0,0,0,0,0,0
4071,c:17966,seed,225000,0,0,0,0,0,0,0,0,0,1,0
19153,c:161406,seed,400000,0,0,0,0,0,0,0,0,0,1,0
19248,c:162175,a,6852075.901187812016,0,1,0,0,0,0,0,0,0,0,0
13566,c:68264,seed,866032.61638225255973,0,0,0,0,0,0,0,0,0,1,0
4205,c:18865,seed,450000,0,0,0,0,0,0,0,0,0,1,0
19294,c:162540,seed,866032.61638225255973,1,0,0,0,0,0,0,0,0,1,0
28370,c:263402,seed,866032.61638225255973,0,0,0,0,0,0,0,0,0,1,0
13493,c:42053,angel,2500000,28,0,1,0,0,0,0,0,0,0,0
4298,c:19825,seed,150000,0,0,0,0,0,0,0,0,0,1,0
4299,c:19844,seed,2000000,0,0,0,0,0,0,0,0,0,1,0
28353,c:263275,angel,576240,1,0,1,0,0,0,0,0,0,0,0
13481,c:67570,seed,750000,0,0,0,0,0,0,0,0,0,1,0
13471,c:67375,angel,832099.38937198067634,0,0,1,0,0,0,0,0,0,0,0
19317,c:162684,angel,100000,1,0,1,0,0,0,0,0,0,0,0
28336,c:263065,seed,100000,0,0,0,0,0,0,0,0,0,1,0
13465,c:67300,seed,300000,0,0,0,0,0,0,0,0,0,1,0
13456,c:67272,seed,20000,0,0,0,0,0,0,0,0,0,1,0
13454,c:67240,seed,145621,1,0,0,0,0,0,0,0,0,1,0
19319,c:161102,seed,866032.61638225255973,1,0,0,0,0,0,0,0,0,1,0
13444,c:67159,seed,12500,0,0,0,0,0,0,0,0,0,1,0
13417,c:66912,seed,200000,1,0,0,0,0,0,0,0,0,1,0
28298,c:255275,seed,60000,3,0,0,0,0,0,0,0,0,1,0
4288,c:19707,seed,227505,0,0,0,0,0,0,0,0,0,1,0
