,object_id,time_since_founded
27,c:4495,[1]
908,c:144059,[67]
11,c:475,[83]
198,c:10614,[121]
806,c:164413,[324]
691,c:145411,[340]
1224,c:281988,[694]
1253,c:235945,[711]
716,c:48759,[754]
611,c:22130,[896]
973,c:245010,[947]
1017,c:258641,[968]
1094,c:265792,[992]
309,c:1368,[1018]
229,c:37881,[1081]
681,c:11391,[1107]
709,c:24982,[1168]
15,c:108,[1197]
658,c:40482,[1253]
957,c:241173,[1301]
963,c:46007,[1306]
1034,c:258957,[1334]
867,c:37431,[1409]
1214,c:37940,[1414]
486,c:1448,[1448]
65,c:15609,[1476]
308,c:43666,[1531]
936,c:38270,[1598]
344,c:1249,[1636]
699,c:1812,[1695]
29,c:1863,[1715]
136,c:26917,[1727]
1104,c:266936,[1727]
167,c:34190,[1783]
37,c:474,[1888]
644,c:760,[1896]
648,c:187,[1934]
1014,c:10106,[1957]
985,c:234793,[1959]
834,c:24046,[1963]
870,c:38752,[1988]
1000,c:29778,[1997]
953,c:158876,[2031]
1015,c:25574,[2064]
91,c:13219,[2064]
131,c:32425,[2093]
1207,c:82151,[2143]
188,c:35739,[2144]
1213,c:40228,[2145]
683,c:21370,[2158]
717,c:23283,[2159]
490,c:42276,[2170]
280,c:7741,[2214]
880,c:36920,[2239]
299,c:42425,[2251]
761,c:64053,[2297]
612,c:2312,[2327]
853,c:219194,[2342]
862,c:62886,[2349]
881,c:33411,[2360]
891,c:228119,[2361]
350,c:548,[2374]
629,c:959,[2387]
775,c:25907,[2397]
636,c:37739,[2400]
976,c:245405,[2409]
990,c:35863,[2418]
649,c:16435,[2420]
1054,c:1665,[2433]
1150,c:23311,[2444]
128,c:32127,[2454]
164,c:14081,[2480]
165,c:34178,[2483]
171,c:34617,[2491]
771,c:18028,[2512]
213,c:37180,[2534]
823,c:4004,[2558]
89,c:17731,[2567]
44,c:1790,[2585]
79,c:18131,[2587]
317,c:26551,[2646]
825,c:3739,[2652]
1070,c:71598,[2658]
346,c:1680,[2737]
356,c:25187,[2739]
919,c:73152,[2739]
1192,c:12,[2788]
1051,c:12352,[2798]
706,c:113,[2802]
148,c:26144,[2830]
1119,c:32412,[2831]
1171,c:221060,[2857]
1194,c:1105,[2867]
1108,c:18293,[2886]
203,c:36738,[2892]
830,c:235,[2927]
601,c:176,[2941]
1058,c:53,[2951]
698,c:325,[2970]
565,c:66768,[2989]
575,c:24837,[3001]
713,c:22131,[3002]
715,c:6314,[3004]
316,c:16192,[3011]
85,c:7618,[3025]
780,c:5,[3030]
31,c:4821,[3041]
1146,c:271076,[3054]
846,c:104377,[3065]
852,c:56788,[3072]
5,c:1438,[3085]
18,c:4018,[3101]
358,c:46074,[3104]
1061,c:3060,[3104]
798,c:1645,[3111]
1149,c:5617,[3119]
377,c:52211,[3123]
774,c:1434,[3124]
989,c:10704,[3148]
1021,c:40456,[3160]
1052,c:9743,[3163]
1084,c:74265,[3181]
142,c:1663,[3189]
1120,c:36004,[3196]
1143,c:271030,[3205]
1148,c:271575,[3208]
1041,c:17487,[3212]
1153,c:23230,[3212]
1166,c:263263,[3218]
1172,c:70361,[3222]
1178,c:1867,[3224]
202,c:36668,[3256]
926,c:24131,[3264]
183,c:29414,[3268]
872,c:44687,[3268]
51,c:7872,[3292]
215,c:37366,[3297]
275,c:40224,[3306]
386,c:352,[3320]
306,c:26905,[3355]
819,c:47834,[3373]
822,c:47906,[3379]
24,c:1972,[3391]
30,c:3827,[3406]
857,c:47257,[3443]
3,c:59,[3443]
70,c:1926,[3460]
922,c:155640,[3463]
351,c:37515,[3469]
920,c:1063,[3471]
50,c:3277,[3471]
790,c:22548,[3473]
964,c:212510,[3499]
394,c:53647,[3517]
1060,c:28373,[3529]
1063,c:260563,[3532]
405,c:55982,[3536]
22,c:424,[3543]
1085,c:56442,[3548]
1099,c:15563,[3553]
1101,c:73330,[3554]
1103,c:266896,[3554]
1137,c:220381,[3569]
1141,c:227029,[3570]
176,c:15436,[3596]
469,c:5744,[3612]
472,c:17600,[3612]
206,c:35967,[3627]
209,c:30039,[3629]
413,c:56115,[3631]
1252,c:243568,[3633]
505,c:41552,[3643]
262,c:39560,[3664]
279,c:40453,[3675]
635,c:581,[3678]
290,c:17933,[3690]
291,c:41885,[3696]
464,c:590,[3711]
318,c:30684,[3744]
34,c:3657,[3786]
833,c:14839,[3789]
835,c:24834,[3793]
602,c:50953,[3795]
45,c:256,[3805]
337,c:49691,[3817]
112,c:25597,[3834]
113,c:15299,[3834]
115,c:24568,[3835]
918,c:5067,[3835]
788,c:10926,[3835]
792,c:37740,[3843]
979,c:245874,[3872]
127,c:29378,[3875]
388,c:24150,[3877]
53,c:8931,[3899]
133,c:32447,[3919]
